iter	RMSE
0	167.4827368
1	146.6021303
2	132.1147473
3	126.4399793
4	123.4886658
5	121.626545
6	120.1464892
7	119.3582227
8	115.515871
9	113.7400455
10	112.4730677
11	111.7904552
12	111.2231792
13	110.5198615
14	109.6259915
15	109.1453967
16	108.5611017
17	108.4132595
18	107.9188646
19	107.6569616
20	107.4711909
21	107.1205472
22	106.9870471
23	106.8615797
24	106.7746632
25	106.5599324
26	106.2151493
27	106.078452
28	105.9568729
29	105.9101995
30	105.7645188
31	105.5695072
32	105.4925519
33	105.3122833
34	105.2318571
35	105.099746
36	104.9784869
37	104.766999
38	104.6966235
39	104.6224916
40	104.5009162
41	104.3984122
42	104.2779513
43	104.1244438
44	104.054076
45	104.0057981
46	103.9732922
47	103.9153014
48	103.8208267
49	103.6534318
50	103.5218632
51	103.469119
52	103.3638405
53	103.2915371
54	103.203714
55	103.1641866
56	103.0857391
57	102.9931894
58	102.9281485
59	102.8595808
60	102.7779315
61	102.3586769
62	102.3100203
63	102.2410438
64	102.2093305
65	102.1137765
66	102.0608334
67	102.0293521
68	101.9785778
69	101.9527203
70	101.896736
71	101.8182386
72	101.5760854
73	101.5470137
74	101.5289602
75	101.4288459
76	101.3654717
77	101.2096189
78	101.1502414
79	101.1347042
80	101.0250786
81	100.9933672
82	100.9559163
83	100.8257603
84	100.8079711
85	100.7356291
86	100.7046259
87	100.6383547
88	100.6117214
89	100.5589089
90	100.5026859
91	100.4827592
92	100.4645572
93	100.429215
94	100.2895414
95	100.2789193
96	100.207536
97	100.1606734
98	100.1250953
99	100.0873726
