iter	Passed	Remaining
0	167	16592
1	245	12012
2	319	10331
3	384	9237
4	456	8679
5	535	8392
6	605	8047
7	684	7866
8	764	7729
9	834	7506
10	901	7295
11	988	7249
12	1038	6952
13	1091	6703
14	1143	6480
15	1194	6272
16	1240	6056
17	1302	5933
18	1352	5764
19	1399	5598
20	1446	5440
21	1503	5331
22	1562	5232
23	1614	5111
24	1664	4993
25	1721	4899
26	1785	4827
27	1847	4751
28	1893	4635
29	1950	4551
30	2030	4518
31	2093	4447
32	2149	4363
33	2223	4315
34	2295	4263
35	2355	4187
36	2422	4124
37	2482	4050
38	2558	4001
39	2621	3932
40	2672	3846
41	2730	3770
42	2787	3695
43	2856	3635
44	2910	3557
45	2965	3481
46	3021	3407
47	3083	3340
48	3130	3258
49	3184	3184
50	3238	3111
51	3305	3051
52	3365	2984
53	3431	2923
54	3485	2851
55	3555	2793
56	3618	2729
57	3676	2662
58	3733	2594
59	3794	2529
60	3843	2457
61	3897	2388
62	3953	2322
63	4010	2255
64	4063	2187
65	4119	2122
66	4174	2056
67	4233	1992
68	4283	1924
69	4334	1857
70	4387	1792
71	4450	1730
72	4498	1663
73	4559	1601
74	4608	1536
75	4672	1475
76	4731	1413
77	4786	1350
78	4855	1290
79	4922	1230
80	4975	1167
81	5042	1106
82	5103	1045
83	5170	984
84	5226	922
85	5286	860
86	5339	797
87	5397	736
88	5444	672
89	5489	609
90	5549	548
91	5614	488
92	5664	426
93	5722	365
94	5775	303
95	5832	243
96	5878	181
97	5930	121
98	5981	60
99	6036	0
